VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-03-01 00:00:00,2016-03-01 00:07:55,1,-73.97674560546875,40.765151977539055,1,N,-74.00426483154298,40.74612808227539,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,2016-03-01 00:00:00,2016-03-01 00:11:06,1,-73.98348236083984,40.767925262451165,1,N,-74.00594329833984,40.7331657409668,1,11.0,0.5,0.5,3.05,0.0,0.3,15.35
2,2016-03-01 00:00:00,2016-03-01 00:31:06,2,-73.78202056884764,40.64480972290039,1,N,-73.97454071044923,40.6757698059082,1,54.5,0.5,0.5,8.0,0.0,0.3,63.8
2,2016-03-01 00:00:00,2016-03-01 00:00:00,3,-73.86341857910156,40.769813537597656,1,N,-73.96965026855469,40.757766723632805,1,31.5,0.0,0.5,3.78,5.54,0.3,41.62
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,-73.97174072265625,40.79218292236328,3,N,-74.17716979980467,40.69505310058594,1,98.0,0.0,0.0,0.0,15.5,0.3,113.8
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,-74.01719665527344,40.70538330078125,1,N,-73.97807312011719,40.75578689575195,1,23.5,1.0,0.5,5.06,0.0,0.3,30.36
2,2016-03-01 00:00:00,2016-03-01 00:00:00,6,-73.99458312988281,40.72784805297852,1,N,0.0,0.0,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3
1,2016-03-01 00:00:01,2016-03-01 00:16:04,1,-73.78877258300781,40.64775848388672,1,N,-73.82920837402342,40.712345123291016,3,20.5,0.5,0.5,0.0,0.0,0.3,21.8
1,2016-03-01 00:00:01,2016-03-01 00:05:00,1,-73.95822143554686,40.76464080810546,1,N,-73.9678955078125,40.76290130615234,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8
2,2016-03-01 00:00:01,2016-03-01 00:24:06,3,-73.98577880859375,40.74119186401367,1,N,-73.94635009765625,40.79787826538086,1,23.5,0.5,0.5,3.2,0.0,0.3,28.0
2,2016-03-01 00:00:01,2016-03-01 00:02:03,2,-73.9884262084961,40.76416015625,1,N,-73.99239349365233,40.75822448730469,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-03-01 00:00:02,2016-03-01 00:07:49,1,-73.96981811523438,40.79742813110352,1,N,-73.94377136230467,40.796199798583984,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
1,2016-03-01 00:00:02,2016-03-01 00:03:05,1,-73.95380401611328,40.78812789916992,1,N,-73.97154998779298,40.79523849487305,1,5.5,0.5,0.5,2.2,0.0,0.3,9.0
2,2016-03-01 00:00:02,2016-03-01 00:09:32,1,-73.97608947753906,40.75217056274414,1,N,-73.9874496459961,40.770782470703125,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36
2,2016-03-01 00:00:02,2016-03-01 00:24:11,1,-74.00206756591797,40.719120025634766,1,N,-73.95211791992188,40.81124114990234,1,27.0,0.5,0.5,5.66,0.0,0.3,33.96
2,2016-03-01 00:00:02,2016-03-01 00:08:24,1,-74.00672912597656,40.730716705322266,1,N,-74.01704406738281,40.70936584472656,1,8.5,0.5,0.5,2.0,0.0,0.3,11.8
1,2016-03-01 00:00:03,2016-03-01 00:09:23,1,-74.0066146850586,40.716621398925774,1,N,-73.99010467529298,40.75605010986328,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
2,2016-03-01 00:00:03,2016-03-01 00:08:34,1,-73.98226928710938,40.7706184387207,1,N,-73.96874237060547,40.75503921508789,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16
2,2016-03-01 00:00:03,2016-03-01 00:32:45,3,-73.79238891601561,40.6450309753418,2,N,-73.98628997802734,40.75851821899414,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34
1,2016-03-01 00:00:04,2016-03-01 00:03:30,2,-73.9837875366211,40.73189163208008,1,N,-73.97581481933594,40.72851943969727,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95
1,2016-03-01 00:00:04,2016-03-01 00:06:11,1,-73.9994125366211,40.738563537597656,1,N,-74.00245666503906,40.74532699584961,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2016-03-01 00:00:04,2016-03-01 00:19:39,1,-73.86585998535155,40.77117919921875,1,N,-73.92384338378906,40.69843292236328,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8
2,2016-03-01 00:00:04,2016-03-01 00:02:24,2,-73.96642303466798,40.76165008544922,1,N,-73.95902252197266,40.76818084716797,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
2,2016-03-01 00:00:05,2016-03-01 00:02:50,2,-73.9898681640625,40.757118225097656,1,N,-73.98538970947266,40.76319122314453,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,2016-03-01 00:00:05,2016-03-01 00:14:55,1,-73.98406982421875,40.74290084838867,1,N,-73.94271087646483,40.71472930908203,1,17.0,0.5,0.5,4.58,0.0,0.3,22.88
1,2016-03-01 00:00:06,2016-03-01 00:12:11,1,-74.00041961669923,40.72746276855469,1,N,-73.94773864746092,40.70987319946289,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2,2016-03-01 00:00:06,2016-03-01 00:31:11,2,-73.99080657958984,40.75765228271485,1,N,-73.88148498535155,40.73888397216797,1,31.0,0.5,0.5,6.46,0.0,0.3,38.76
2,2016-03-01 00:00:06,2016-03-01 00:07:08,5,-73.9754867553711,40.78703308105469,1,N,-73.9529571533203,40.80764389038086,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
2,2016-03-01 00:00:07,2016-03-01 00:36:51,1,-73.78941345214844,40.6470184326172,2,N,-74.00099182128906,40.7269401550293,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
1,2016-03-01 00:00:08,2016-03-01 00:03:22,1,-73.9811248779297,40.737300872802734,1,N,-73.98801422119139,40.725601196289055,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3
2,2016-03-01 00:00:08,2016-03-01 00:26:18,1,-73.99230194091797,40.74971389770508,1,N,-74.03071594238281,40.61862182617188,2,33.5,0.5,0.5,0.0,0.0,0.3,34.8
2,2016-03-01 00:00:08,2016-03-01 00:16:31,4,-74.00794219970702,40.70626831054688,1,N,-73.9564208984375,40.71889877319336,2,16.0,0.5,0.5,0.0,0.0,0.3,17.3
2,2016-03-01 00:00:09,2016-03-01 00:10:09,2,-73.95465850830078,40.768909454345696,1,N,-73.97611236572266,40.74494934082031,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76
1,2016-03-01 00:00:10,2016-03-01 00:10:01,1,-73.96561431884764,40.790332794189446,1,N,-73.94799041748048,40.774517059326165,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,2016-03-01 00:00:10,2016-03-01 00:11:04,1,-73.98728942871094,40.75569152832031,1,N,-73.96084594726561,40.76950073242188,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15
1,2016-03-01 00:00:10,2016-03-01 00:04:38,1,-73.9818344116211,40.75626373291016,1,N,-73.987060546875,40.7486686706543,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2016-03-01 00:00:11,2016-03-01 00:13:49,2,-73.95122528076173,40.78277206420898,1,N,-73.98895263671875,40.74826049804688,1,13.5,0.5,0.5,2.95,0.0,0.3,17.75
1,2016-03-01 00:00:12,2016-03-01 00:08:41,1,-73.98300933837889,40.75618362426758,1,N,-73.96585845947266,40.7542381286621,1,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-03-01 00:00:12,2016-03-01 00:29:57,1,-73.9886245727539,40.72168350219727,1,N,-73.93851470947266,40.817020416259766,1,31.0,0.5,0.5,8.05,0.0,0.3,40.35
2,2016-03-01 00:00:13,2016-03-01 00:04:56,5,-73.99179077148438,40.749187469482415,1,N,-73.98950958251953,40.75777816772461,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
2,2016-03-01 00:00:13,2016-03-01 00:02:42,1,-73.99591827392578,40.73867034912109,1,N,-73.99203491210938,40.74949645996094,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-03-01 00:00:14,2016-03-01 00:21:58,1,-73.95418548583984,40.76414108276367,1,N,-73.90243530273438,40.82696914672852,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8
2,2016-03-01 00:00:14,2016-03-01 00:16:37,1,-73.96170043945312,40.654949188232415,1,N,-73.93612670898438,40.69771957397461,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8
2,2016-03-01 00:00:14,2016-03-01 00:11:14,1,-73.98902130126953,40.71890640258789,1,N,-73.94670867919923,40.695648193359375,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3
1,2016-03-01 00:00:15,2016-03-01 00:09:52,1,-73.97113037109375,40.75152587890625,1,N,-73.98873901367188,40.71282196044922,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15
1,2016-03-01 00:00:16,2016-03-01 00:11:59,1,-73.98197174072266,40.761695861816406,1,N,-73.97492218017578,40.79317474365234,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
2,2016-03-01 00:00:16,2016-03-01 00:03:56,1,-73.96903991699219,40.79098129272461,1,N,-73.96208953857422,40.80535125732422,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
2,2016-03-01 00:00:16,2016-03-01 00:04:38,1,-73.99842834472656,40.740581512451165,1,N,-73.99459075927734,40.75498962402344,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
1,2016-03-01 00:00:17,2016-03-01 00:12:02,1,-74.00578308105469,40.74040985107422,1,N,-73.98197174072266,40.764007568359375,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75
2,2016-03-01 00:00:17,2016-03-01 00:25:34,1,-73.9871368408203,40.720516204833984,1,N,-73.96949768066406,40.76110458374024,1,20.5,0.5,0.5,4.36,0.0,0.3,26.16
2,2016-03-01 00:00:17,2016-03-01 00:13:03,1,-73.97879028320312,40.76246643066406,1,N,-73.98910522460938,40.730716705322266,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0
2,2016-03-01 00:00:18,2016-03-01 00:09:52,1,-73.98250579833984,40.75724411010742,1,N,-73.98570251464844,40.7780647277832,1,9.5,0.5,0.5,1.7,0.0,0.3,12.5
1,2016-03-01 00:00:19,2016-03-01 00:18:02,1,-74.01290130615233,40.70807266235352,1,N,-73.96126556396483,40.64998245239258,1,23.5,0.5,0.5,1.0,0.0,0.3,25.8
1,2016-03-01 00:00:19,2016-03-01 00:18:07,1,-73.96903991699219,40.7908935546875,1,N,-73.98954010009764,40.73448181152344,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
2,2016-03-01 00:00:19,2016-03-01 00:14:16,3,-73.98222351074217,40.75860977172852,1,N,-73.93955230712889,40.751731872558594,1,13.0,0.5,0.5,1.0,0.0,0.3,15.3
2,2016-03-01 00:00:19,2016-03-01 00:05:33,2,-74.00289916992188,40.74930953979492,1,N,-73.97846984863281,40.78313827514648,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2016-03-01 00:00:19,2016-03-01 00:04:07,1,-73.98590850830078,40.757598876953125,1,N,-73.99256896972656,40.75347137451172,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
